"D=2,N=2000"	
6.3690 	-1.0582 
-6.9030 	7.6276 
5.6611 	-4.1398 
5.9411 	-3.3387 
-1.6022 	-1.6470 
1.5387 	-7.3660 
-2.2606 	-7.6870 
5.1881 	-4.8116 
5.6114 	-4.0541 
6.4339 	-1.1574 
2.4444 	11.1396 
-1.9311 	10.7675 
0.2285 	-7.7818 
-4.7853 	-6.8120 
-8.2923 	-3.2562 
-5.2748 	-6.5905 
6.2506 	-2.9280 
5.2759 	10.3446 
5.3979 	2.6385 
-1.9353 	10.7765 
-3.2434 	0.8092 
3.9633 	-6.1853 
-7.4075 	7.0572 
-9.4368 	1.3513 
4.6192 	3.4466 
3.3258 	10.8562 
-7.5527 	-4.4241 
6.3347 	-1.6609 
-8.6825 	-2.5796 
1.0636 	11.0679 
0.0042 	11.1239 
-4.7877 	-6.7638 
-2.6518 	-7.6229 
4.9418 	-5.1551 
-2.7403 	2.8781 
-7.1915 	7.3035 
2.4909 	4.6727 
2.7548 	-7.0319 
0.3112 	-7.6506 
-0.6771 	11.1047 
-2.9239 	-0.1759 
-2.9763 	10.4069 
5.6417 	-4.0370 
6.3299 	-1.7015 
-5.1067 	-6.6486 
-7.9127 	6.0196 
5.9581 	1.5495 
6.3409 	0.5602 
4.6447 	10.6048 
-8.9399 	-1.6000 
5.1154 	-4.8336 
4.0900 	10.6981 
-0.0709 	11.1515 
5.5638 	2.2286 
-0.7065 	-1.7541 
-8.4587 	5.2719 
-1.5728 	10.8042 
1.4836 	4.8501 
-3.1016 	1.5053 
-9.1280 	-1.4399 
-9.1444 	-0.9329 
-6.5247 	-5.6048 
-1.8094 	-1.5669 
-8.9171 	3.8725 
2.8078 	11.0474 
-1.2584 	10.9453 
1.1780 	4.9625 
2.7356 	-6.8643 
6.4464 	-0.9709 
-8.2510 	-3.4771 
-9.3316 	-0.4663 
5.3221 	-4.6740 
-5.1911 	9.1751 
-5.4090 	8.8994 
-6.1029 	8.5549 
2.9024 	-6.7954 
-2.6867 	2.7126 
-8.4578 	5.0622 
5.5211 	10.2015 
4.4520 	3.6371 
1.2196 	4.9473 
0.9115 	11.1770 
-4.8025 	-6.7336 
-2.4920 	10.5061 
-4.7689 	9.4246 
5.5558 	2.4257 
6.4391 	-1.4445 
-2.7027 	2.8206 
-9.2837 	-0.6939 
-6.2406 	8.2638 
-6.2699 	-5.7463 
-3.1893 	0.4319 
5.3807 	10.3671 
-5.8434 	-6.0738 
3.9766 	-6.1030 
4.9641 	3.0710 
-9.3623 	0.1843 
-8.6227 	-2.6014 
-7.2686 	7.1575 
3.9367 	4.1100 
2.6028 	-6.9242 
3.2502 	4.3596 
-2.5631 	10.5240 
3.7179 	-6.4054 
5.9812 	-3.2921 
-1.4561 	-1.5260 
-5.1672 	9.1192 
-5.6781 	-6.3023 
-7.3683 	-4.6448 
-1.4535 	10.7885 
-8.1299 	5.8295 
-9.2405 	2.8407 
5.0574 	2.7988 
-7.8504 	-3.9269 
3.7016 	10.8959 
-8.9823 	-1.4163 
-4.7797 	9.5271 
5.0380 	10.3449 
-0.5264 	11.0180 
6.3101 	0.8542 
-3.2773 	1.0748 
-3.1843 	-7.4146 
-2.3905 	-0.8833 
-4.3468 	-6.9211 
3.2893 	10.8546 
6.3543 	-1.5378 
0.8393 	-7.6529 
-1.8800 	-7.8239 
-3.6382 	9.9969 
-3.8656 	9.9672 
-3.2563 	-7.4679 
1.1486 	-7.4370 
1.7750 	11.2196 
-7.6523 	6.6783 
-7.6259 	6.5147 
2.9987 	10.9304 
-6.2718 	-5.8166 
-5.6420 	8.8179 
-3.2362 	-7.4956 
-2.6763 	10.4719 
0.6958 	-7.7176 
-7.6549 	6.5035 
4.5639 	10.5596 
-6.8834 	-5.2559 
-1.8349 	-7.7974 
6.1761 	1.2553 
4.4184 	-5.7703 
0.9317 	4.8993 
1.5683 	-7.3690 
4.0695 	-5.9735 
3.3145 	-6.4565 
-4.3077 	9.7511 
-7.2744 	-4.8822 
-6.7629 	-5.3403 
-6.3238 	8.2144 
1.5285 	4.8035 
-9.4246 	0.1787 
3.2536 	-6.6414 
3.8001 	-6.2654 
-8.5966 	-2.6503 
-1.8419 	10.7003 
5.8014 	1.6633 
-9.2528 	2.9715 
0.3200 	11.1267 
5.8555 	1.8128 
5.4181 	-4.4856 
-5.6048 	-6.2686 
-0.3452 	11.0586 
-5.9173 	-6.1302 
6.0724 	-3.2275 
-7.2380 	-4.7990 
-8.4938 	-2.7322 
-0.7320 	-7.8740 
-2.4026 	-0.8329 
-8.5678 	4.7372 
-6.1491 	-5.9651 
1.2042 	-7.4975 
-2.1949 	3.3952 
2.5101 	-7.1304 
6.5222 	-0.5344 
5.9447 	1.4808 
-4.5655 	9.6097 
0.3373 	-7.6216 
-2.8509 	2.7157 
1.5590 	-7.4194 
-6.2863 	8.1680 
4.4866 	3.4872 
0.9131 	11.1861 
4.4242 	-5.6372 
4.0948 	-6.0754 
6.0528 	1.3549 
-6.6214 	7.9028 
-2.0027 	3.7759 
3.1864 	11.0112 
4.1892 	3.9635 
5.8140 	-3.8041 
-8.9771 	3.9495 
3.1740 	4.4292 
-6.2788 	-5.6406 
-8.2809 	5.6276 
1.8598 	11.0587 
-7.8133 	6.1691 
-7.2968 	7.1564 
-0.4293 	-7.7218 
6.5513 	-0.8869 
-6.6428 	-5.4319 
6.3705 	0.4489 
-2.9861 	10.3560 
-9.1964 	2.3933 
-4.3681 	9.6320 
-5.5166 	8.9797 
-4.1777 	-7.1212 
4.8944 	-5.1783 
-8.9512 	3.8572 
5.0776 	10.3525 
-6.5861 	8.0232 
-3.7484 	9.9405 
-8.4987 	4.9244 
-8.9384 	-1.4509 
-7.1252 	7.1827 
-5.5182 	-6.2587 
-1.6480 	10.8593 
-1.9686 	3.6799 
4.0949 	10.7533 
0.1200 	4.7571 
-7.7448 	-4.1602 
-0.2378 	-7.8724 
0.6075 	4.8718 
-8.0367 	5.8375 
-9.1800 	-0.5099 
-6.0431 	8.5947 
-8.3332 	-3.1472 
-4.5521 	9.5797 
-8.6733 	-2.5268 
2.6967 	10.9681 
-1.4389 	10.7685 
-6.2188 	-5.9926 
-5.6849 	8.7802 
-4.3782 	-7.0474 
-3.7463 	10.0975 
4.4530 	-5.7347 
4.5678 	10.5119 
5.9224 	-3.3679 
-1.8674 	4.0067 
-7.2841 	7.2178 
-3.6496 	10.0565 
1.4424 	11.0837 
4.2043 	-5.8463 
-5.0659 	9.3756 
-7.4146 	-4.6006 
-3.8316 	-7.3540 
-4.1885 	9.7342 
3.2624 	10.9485 
-1.5941 	4.0244 
-8.6062 	5.0071 
6.4615 	-0.6063 
0.0328 	-7.7846 
6.2615 	-2.7932 
-3.4945 	10.1028 
5.6867 	10.1329 
-9.3069 	1.5818 
-8.5757 	4.8245 
2.1381 	11.0258 
-8.9196 	3.9458 
-8.3707 	-3.0625 
1.1688 	-7.5652 
-9.3655 	0.8223 
2.3198 	-7.1068 
-0.5303 	-7.8690 
1.9276 	-7.3654 
-4.1166 	-7.2142 
-5.8594 	-6.0374 
0.8796 	11.2064 
6.1751 	1.2665 
3.6083 	-6.4458 
-8.4897 	-2.6878 
-5.1178 	-6.5497 
6.2940 	-2.4403 
-8.7522 	-2.3545 
-0.9742 	10.8809 
-2.3567 	3.2845 
-2.4838 	-7.5833 
-1.0238 	4.4203 
-8.2072 	-3.3220 
-7.5578 	-4.4475 
-6.5006 	7.8420 
6.3484 	-0.4750 
-8.8516 	-1.9685 
-3.5285 	-7.3125 
-1.9668 	10.6457 
-9.3008 	2.2366 
2.7381 	-6.9674 
3.1602 	-6.6286 
6.4731 	-1.7426 
3.3036 	10.9038 
5.4536 	-4.4203 
4.0553 	3.8467 
2.3582 	-7.1782 
-7.6442 	6.7110 
-8.5835 	4.9114 
-8.6670 	4.6518 
-1.6356 	-1.5582 
1.6497 	-7.4474 
0.3103 	11.0459 
4.6413 	-5.5999 
-9.0682 	-1.5093 
5.2907 	-4.4551 
1.9118 	4.8260 
0.6649 	-7.7207 
-4.2038 	9.7500 
4.7611 	10.4233 
-2.0008 	10.7768 
-1.1476 	4.4027 
3.5802 	-6.3357 
6.3598 	-0.7369 
4.6139 	-5.4485 
5.0382 	10.4279 
-7.8455 	-4.0745 
-7.3607 	7.0788 
-3.1118 	10.3748 
4.5655 	3.4170 
0.3246 	11.1391 
0.5227 	4.9518 
-7.4512 	6.8891 
-7.9995 	6.1607 
-8.2536 	5.4779 
2.6283 	4.7080 
-2.8338 	-7.6334 
-6.1919 	-5.7975 
-7.1468 	-4.8778 
-2.0822 	10.7695 
-9.0473 	3.3064 
-4.7852 	9.3358 
-7.1409 	-4.8828 
3.3936 	10.9554 
-2.2188 	3.4853 
-7.5414 	-4.4819 
5.8429 	-3.4930 
-4.8380 	-6.7247 
-8.9982 	3.7174 
6.0563 	1.2105 
-9.1506 	-0.7063 
4.1151 	-5.8451 
-0.9505 	10.9401 
2.5152 	4.6684 
0.2151 	4.8380 
3.7188 	10.8818 
3.8856 	4.0943 
3.7737 	4.2057 
3.9060 	3.9690 
-0.6575 	4.5548 
-3.3154 	-7.3680 
-9.1769 	2.8141 
-3.6102 	10.1303 
-5.5270 	8.7297 
-8.3445 	5.2561 
-4.2477 	-7.1286 
-8.5597 	5.0771 
3.5373 	10.9005 
-5.9758 	-5.8899 
5.0537 	-4.8483 
-5.7105 	8.8271 
6.4622 	-0.6248 
6.5335 	-0.5637 
-3.9130 	-7.2443 
-9.3543 	-0.0690 
-9.3470 	-0.3053 
1.8822 	4.7997 
1.9007 	4.7535 
5.7760 	-3.8348 
-7.7285 	6.3758 
-0.6119 	-7.8793 
-3.7464 	10.0463 
2.3117 	10.9839 
0.0300 	-7.7609 
-2.7424 	2.6191 
-8.4409 	-2.9681 
-7.4227 	6.9679 
4.4657 	-5.6596 
-5.3948 	-6.5008 
6.4379 	0.2442 
2.5178 	11.1101 
-4.8416 	-6.8130 
-7.4655 	-4.4375 
6.4290 	0.3291 
-0.2488 	4.7548 
-2.5071 	3.2103 
-4.2391 	9.8172 
-6.3972 	8.1522 
5.8625 	1.8577 
-0.0397 	11.1410 
-8.9561 	3.6326 
-9.3591 	2.0026 
5.3627 	10.2234 
-3.2090 	0.8844 
-1.3937 	-7.8698 
-5.2350 	-6.4462 
-8.7087 	-2.2555 
-1.1663 	4.4682 
-9.3458 	2.3197 
-2.7771 	2.6652 
-8.1309 	-3.6793 
-8.5374 	5.1761 
-5.1754 	-6.6626 
-9.1956 	-0.2269 
6.1838 	0.7447 
-9.3573 	1.3942 
1.1889 	-7.6241 
0.3023 	4.8829 
1.4053 	-7.3791 
6.3405 	-2.3549 
6.4114 	-1.1185 
-9.4134 	0.1063 
-6.8752 	-5.3016 
-0.7581 	-7.8933 
6.2643 	0.5407 
-2.0833 	10.6422 
-2.0759 	10.7035 
5.8587 	-3.6386 
-9.2852 	-0.4366 
-6.1890 	8.3827 
3.3794 	10.8114 
1.4216 	11.1133 
1.0485 	-7.5493 
4.4657 	3.6169 
-5.2191 	9.0715 
1.2289 	4.8732 
4.2321 	3.8835 
2.7256 	-7.0227 
-2.6987 	10.4435 
-8.7750 	-2.3482 
-8.9046 	-2.1138 
1.7697 	11.0748 
-8.5085 	-2.6761 
-2.0943 	-1.3561 
-4.6406 	9.4269 
-9.2798 	-0.7046 
-4.7627 	-6.8603 
6.1325 	-2.8654 
6.2725 	-2.1419 
-4.7713 	-6.8162 
6.3745 	-0.0308 
-2.8663 	2.2551 
4.7100 	3.4538 
6.3852 	-2.1293 
5.7544 	1.7063 
-9.1343 	-0.9845 
-3.9716 	9.8980 
-4.5861 	9.4924 
-5.0246 	9.1654 
-8.4647 	4.9666 
-1.9889 	10.7290 
-6.0958 	8.4818 
5.9526 	1.3594 
5.5682 	10.2754 
-0.4374 	4.6732 
-9.3782 	1.7203 
6.2161 	0.7444 
6.5006 	-1.2108 
3.4563 	-6.5163 
5.9090 	1.7133 
-6.0466 	-5.9150 
3.1733 	10.9351 
0.3152 	-7.6303 
-8.8805 	-2.2372 
-9.1410 	-0.9121 
-8.4723 	5.3773 
-0.1513 	-7.8507 
-2.1816 	10.7422 
1.4195 	11.1623 
-7.2075 	7.2490 
5.8395 	-3.7860 
-5.3131 	8.9431 
3.0950 	4.4093 
-6.0320 	-6.0978 
-9.1871 	-0.6179 
-8.5834 	4.6964 
1.0116 	-7.5364 
-7.9825 	6.0909 
-0.4250 	10.9870 
-2.6684 	2.8620 
2.8927 	4.6144 
-1.8974 	10.7959 
-1.3357 	-7.8421 
-0.6119 	-7.8514 
3.6087 	10.8147 
-7.2710 	7.1738 
4.8217 	10.5630 
6.4853 	-0.4527 
-0.1451 	4.8248 
1.0088 	-7.5160 
-5.7896 	-6.2439 
-8.4793 	-2.8714 
4.6057 	10.6642 
-5.5040 	-6.3840 
-0.0410 	-7.6937 
5.6908 	10.1081 
6.3590 	-2.2768 
-9.2125 	2.5609 
3.9795 	10.8028 
-9.1465 	3.0125 
5.3984 	-4.5966 
-7.1075 	-4.8547 
-0.5290 	-1.7781 
-0.7668 	10.9987 
-0.2611 	-7.7643 
5.2547 	-4.6367 
3.1084 	10.9091 
-3.7536 	-7.3719 
5.8030 	-3.8476 
-0.9487 	4.4517 
-8.8162 	-2.3657 
3.7558 	4.1205 
-1.7197 	3.8711 
-8.7338 	-2.3193 
5.6421 	-3.8215 
2.3025 	-7.1554 
-8.1680 	5.8260 
-2.0689 	10.7079 
3.1866 	-6.7430 
3.6870 	10.7610 
3.3560 	10.8546 
6.1049 	1.2032 
-6.6184 	7.9473 
-9.1960 	-0.3775 
1.2978 	11.1881 
-9.2072 	-1.1232 
-8.7590 	4.6705 
-7.4366 	6.7443 
0.9891 	-7.6553 
6.4670 	-1.6835 
-3.1582 	1.2309 
-4.2465 	-6.9757 
-9.4654 	1.3094 
5.9278 	-3.4327 
-6.6558 	-5.4821 
6.4433 	-1.3825 
5.4647 	-4.4733 
-9.4006 	1.7907 
-0.2326 	10.9974 
-2.0678 	10.6328 
6.0869 	0.9548 
0.1543 	-7.7233 
-0.5153 	10.9346 
6.4267 	-2.0605 
4.0357 	10.8313 
-9.2614 	-0.0909 
4.4225 	3.5235 
-3.8111 	9.9842 
-9.3314 	1.9561 
-7.6441 	-4.1521 
6.3697 	-1.6095 
-3.1752 	1.6424 
6.3716 	-0.5261 
2.4595 	-7.1035 
-9.3828 	0.7420 
5.0405 	10.4297 
6.1386 	1.2107 
-7.0080 	7.4246 
-0.5779 	10.9738 
-4.2668 	-7.1379 
4.2312 	3.8490 
-4.6817 	9.4391 
-4.5465 	-6.9592 
1.3193 	4.9920 
-1.2180 	10.9108 
-9.3529 	0.8921 
0.0067 	4.6886 
0.6537 	11.2333 
-3.1083 	1.0034 
-3.1458 	1.4880 
5.2414 	10.3941 
-9.0561 	3.8223 
1.4040 	-7.4630 
-5.9945 	-6.0691 
-6.7536 	7.6606 
-2.9787 	2.2758 
-8.0097 	5.8887 
-8.6190 	4.6124 
-3.5125 	-7.4389 
-8.7670 	-2.2116 
3.5871 	-6.3027 
4.8065 	3.2651 
0.0068 	-7.7151 
1.3877 	11.0446 
6.3618 	0.0131 
2.3883 	-7.0641 
4.3683 	-5.9024 
-1.0813 	4.2918 
-6.4668 	-5.7749 
-3.4233 	10.1921 
0.5958 	11.0804 
-8.1605 	5.8422 
1.0267 	-7.5614 
5.4281 	-4.4955 
-8.8868 	4.0810 
-0.8671 	10.9442 
1.7012 	11.1090 
-1.3082 	4.3989 
-4.8120 	-6.8504 
2.2881 	4.7641 
6.3174 	-1.7258 
-0.6100 	11.0152 
5.8843 	1.8568 
1.6057 	4.9547 
-7.6310 	-4.3950 
4.7534 	-5.3915 
1.1095 	-7.4731 
-5.5278 	8.8838 
-3.1209 	10.3073 
-9.0644 	3.4569 
-0.9926 	-7.8875 
-9.4201 	1.3584 
6.3049 	0.8505 
-9.2948 	-0.2680 
-9.1225 	3.2381 
-9.0240 	-1.2436 
3.1410 	-6.6796 
2.1577 	-7.1268 
4.8306 	3.1987 
-5.3920 	9.0796 
-5.4897 	-6.5440 
2.7815 	-6.9584 
-6.3791 	8.1285 
6.4448 	-0.7347 
-2.9613 	10.4533 
-4.2574 	9.7585 
-2.7886 	10.4314 
1.9222 	-7.2616 
1.0372 	-7.5569 
-1.8834 	10.7556 
-3.8974 	-7.3519 
-8.3848 	-2.9303 
-8.7414 	4.2657 
3.7194 	10.7835 
-7.7029 	-4.0915 
-9.3616 	0.8339 
-8.3967 	-2.9029 
1.7551 	11.0626 
-1.9236 	10.7576 
4.8159 	3.4598 
5.0968 	2.8307 
6.4039 	-1.0758 
-7.1794 	7.1360 
5.8486 	1.6576 
5.0185 	10.4821 
-8.4267 	5.0266 
5.0940 	2.9932 
-2.1513 	10.6864 
0.8487 	11.0419 
3.7129 	10.9087 
-8.4430 	-2.9150 
-8.2157 	-3.3616 
4.9774 	3.0541 
-6.4131 	-5.5729 
-7.7244 	-4.1012 
4.4612 	3.6165 
-5.5231 	-6.3824 
-7.2498 	-4.6686 
5.8773 	1.7588 
-9.3937 	0.0693 
-3.1355 	0.3071 
4.5735 	-5.6058 
-7.2229 	-4.7626 
4.1341 	-5.8059 
-9.0831 	-1.1845 
2.3628 	-7.0804 
2.6187 	4.6864 
1.0258 	11.1235 
-9.4048 	1.1291 
-9.2553 	2.3005 
-9.2199 	3.2698 
-7.3852 	6.9206 
-3.0544 	10.3147 
-6.5527 	-5.6319 
3.8112 	4.1567 
1.2511 	-7.5146 
-4.1946 	9.7765 
4.8534 	3.3608 
3.9480 	-6.0147 
4.1390 	10.7664 
-4.7823 	9.3183 
6.3615 	0.1592 
5.8836 	10.0402 
-2.2097 	3.3457 
-1.6239 	-7.8204 
-0.1870 	-7.7198 
0.0787 	-7.8325 
1.0652 	4.8455 
-1.5385 	-7.7935 
-9.2598 	-0.4548 
5.1318 	10.2801 
6.2940 	0.4216 
2.6897 	-6.8325 
6.2092 	-2.5823 
5.6037 	-4.1967 
5.5951 	2.3258 
-2.9842 	-0.1682 
-2.9955 	-7.5443 
6.5397 	-1.2104 
-1.4657 	10.7736 
-7.0514 	-4.9358 
1.1422 	11.1206 
4.3725 	10.5960 
-8.7529 	-2.0835 
1.4968 	4.8073 
1.7246 	11.0607 
-8.9056 	-1.5946 
-0.7294 	11.0081 
-1.5537 	-7.8544 
-9.2696 	-0.7763 
-1.8129 	3.7954 
1.7133 	11.1344 
-9.3044 	1.2256 
0.5434 	4.8105 
-8.6831 	4.5046 
0.3742 	-7.7345 
-1.0232 	4.3446 
6.3211 	0.7352 
6.5142 	-1.5037 
6.3652 	-0.0226 
-8.7437 	4.6478 
-7.0663 	7.3615 
-7.8446 	-4.2028 
-7.9224 	-3.8060 
-9.3711 	0.5560 
5.1194 	10.4565 
-9.4373 	0.6664 
-9.0759 	-1.1706 
0.8022 	11.1129 
-8.5714 	-2.9301 
3.7472 	-6.2925 
3.6047 	10.8826 
-2.5101 	-7.7076 
-9.1097 	-1.2052 
-8.1944 	5.6331 
-9.1415 	3.4043 
6.3026 	0.8924 
-1.1626 	4.4152 
5.9950 	-3.0609 
-1.6026 	10.7705 
-8.0756 	-3.5829 
-3.8778 	-7.1537 
-1.7952 	-7.8017 
-6.2521 	8.1852 
-9.2727 	2.0075 
-9.3925 	2.0670 
4.2187 	3.7211 
-2.0423 	-7.7576 
-6.1146 	-5.9844 
1.4373 	-7.3501 
-4.7439 	-6.8861 
3.4149 	-6.4248 
-6.1130 	8.2895 
1.0639 	-7.5236 
-8.4958 	5.2088 
-4.7943 	-6.8471 
-8.0153 	6.1068 
2.4602 	11.1057 
-6.6557 	-5.4318 
0.4706 	11.1981 
6.3665 	0.4333 
-1.2424 	10.8017 
-1.1607 	4.4367 
-3.9167 	-7.1892 
-2.9358 	-0.2885 
-4.8450 	9.4239 
5.2376 	2.9558 
4.5517 	3.5497 
5.2261 	2.7048 
-8.8003 	4.0457 
6.1679 	0.7347 
5.3276 	-4.5377 
-6.5832 	7.9597 
-5.8834 	-6.1928 
0.7306 	11.1610 
-2.5571 	3.0645 
-2.3042 	-7.7812 
-8.5063 	-2.7870 
-8.3587 	-3.1905 
-3.9885 	9.8782 
2.1306 	4.9047 
5.2391 	-4.7024 
-0.8975 	-1.6999 
3.2679 	10.8888 
-6.6120 	7.7609 
-7.2220 	7.2053 
2.9331 	4.6244 
2.9451 	-6.7413 
3.8220 	4.2276 
-5.6404 	-6.3642 
-4.7192 	9.4590 
-9.3891 	0.6060 
-9.0472 	3.8856 
-9.3682 	0.9742 
-7.9608 	6.1680 
-2.0939 	10.7712 
-9.4364 	0.3689 
5.2989 	2.8532 
-8.6277 	-2.7670 
4.3816 	3.6128 
0.6507 	11.0783 
-1.3938 	4.0935 
3.6121 	-6.2837 
-8.6556 	-2.4256 
-4.4381 	-6.9662 
-4.8766 	9.2686 
-7.1147 	-4.9372 
6.4987 	-0.1654 
-8.5002 	5.0678 
3.5367 	4.3151 
-9.2820 	2.2344 
-9.3825 	0.8183 
6.3529 	-0.2179 
5.2861 	2.7755 
4.5737 	3.5694 
3.5961 	4.1309 
5.9666 	1.4255 
3.4548 	10.8449 
-2.5812 	-0.8288 
3.5467 	10.8008 
-3.1468 	0.1224 
4.2570 	10.6230 
5.3750 	-4.3959 
-6.8871 	-5.2103 
-1.8623 	10.6811 
0.1349 	11.0705 
5.6456 	2.2873 
-9.3790 	2.3768 
2.7147 	11.0069 
4.4922 	10.5139 
0.8060 	4.9238 
5.1779 	2.8647 
-7.4477 	6.9408 
-3.0164 	2.2788 
-1.9123 	3.9120 
-5.1631 	-6.5695 
-2.6777 	10.4147 
5.6758 	10.2278 
-1.3398 	-1.7063 
-7.6652 	-4.3438 
-2.0471 	10.7380 
0.8130 	11.0760 
-2.9234 	10.4983 
-0.9467 	10.9776 
-7.4740 	6.9591 
1.4511 	4.9763 
-6.2060 	-5.8368 
4.6468 	3.3136 
-3.5354 	10.0722 
1.9278 	11.1756 
4.8099 	3.4248 
-0.7920 	11.0087 
0.8066 	-7.7350 
1.0020 	-7.5154 
6.0404 	-2.9739 
-1.6717 	10.8376 
-7.5971 	6.7787 
-2.9629 	-7.4970 
-8.5342 	5.0068 
2.7511 	11.0648 
4.9218 	3.1587 
6.4356 	-1.3236 
-9.3491 	1.1018 
-4.6887 	9.3602 
-2.4480 	10.5789 
0.2167 	-7.7395 
1.3218 	4.8244 
-1.2274 	4.3605 
2.3397 	-7.1332 
-3.8040 	9.9822 
6.2684 	0.6998 
-5.5403 	8.7425 
-9.4147 	1.9747 
-3.1580 	0.1715 
-5.7993 	8.6204 
1.6120 	11.2209 
-5.3268 	-6.3723 
-3.5307 	10.0721 
2.4627 	4.7475 
-6.8249 	7.5436 
1.7233 	11.1662 
-3.6034 	10.1204 
6.2733 	-2.2517 
6.2639 	0.8411 
-6.8903 	-5.2288 
0.1798 	-7.6964 
-4.6870 	-6.9262 
5.6304 	10.1509 
-9.1976 	-1.0334 
2.7573 	11.0762 
-5.2646 	-6.4813 
-2.3913 	-7.6624 
-6.2902 	8.0488 
-7.5329 	6.7665 
-2.5917 	-7.5540 
-2.7407 	2.6286 
-0.7026 	4.5322 
-5.2599 	9.0731 
-9.2798 	2.0251 
-3.0971 	0.7815 
-8.0012 	-3.6942 
-8.2962 	5.7192 
0.9057 	4.9927 
6.3375 	0.6279 
-4.6887 	9.4821 
2.9646 	4.5811 
-0.8021 	11.0100 
1.6236 	11.2078 
-2.3773 	-1.1477 
1.3433 	-7.4572 
4.5983 	3.4442 
-7.4266 	-4.4583 
0.2383 	4.8524 
-3.2079 	1.4265 
2.2174 	11.0099 
4.3878 	10.5619 
2.2813 	-7.1840 
-9.2979 	1.3111 
-2.0111 	3.7093 
6.0773 	1.1375 
-3.1239 	1.5360 
-4.1979 	-7.0270 
3.7331 	4.2344 
5.3584 	10.2856 
